[2026-06-06T11:54:38.067Z] GET http://localhost:3456/ → 200 (9ms, 42888B)
[2026-06-06T11:54:38.141Z] GET https://fonts.googleapis.com/css2?family=Caveat&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.141Z] GET https://fonts.googleapis.com/css2?family=Patrick%20Hand&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.141Z] GET https://fonts.googleapis.com/css2?family=Kalam&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.141Z] GET https://fonts.googleapis.com/css2?family=Architects%20Daughter&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.141Z] GET https://fonts.googleapis.com/css2?family=Schoolbell&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.141Z] GET https://fonts.googleapis.com/css2?family=Comic%20Neue&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.143Z] GET https://fonts.googleapis.com/css2?family=Nanum%20Pen%20Script&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.143Z] GET https://fonts.googleapis.com/css2?family=Gamja%20Flower&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.143Z] GET https://fonts.googleapis.com/css2?family=Cute%20Font&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.143Z] GET https://fonts.googleapis.com/css2?family=Do%20Hyeon&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.143Z] GET https://fonts.googleapis.com/css2?family=Noto%20Sans%20KR&display=swap → pending (?ms, ?B)
[2026-06-06T11:54:38.471Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9eIWpYT5Kmgq3sw.woff2 → 200 (206ms, 48864B)
[2026-06-06T11:57:23.373Z] GET http://localhost:3456/ → 200 (15ms, 43619B)
[2026-06-06T11:57:23.403Z] GET https://fonts.googleapis.com/css2?family=Caveat&display=swap → 200 (?ms, 1532B)
[2026-06-06T11:57:23.404Z] GET https://fonts.googleapis.com/css2?family=Patrick%20Hand&display=swap → 200 (?ms, 1294B)
[2026-06-06T11:57:23.404Z] GET https://fonts.googleapis.com/css2?family=Kalam&display=swap → 200 (1ms, 1185B)
[2026-06-06T11:57:23.405Z] GET https://fonts.googleapis.com/css2?family=Architects%20Daughter&display=swap → 200 (?ms, 927B)
[2026-06-06T11:57:23.405Z] GET https://fonts.googleapis.com/css2?family=Schoolbell&display=swap → 200 (?ms, 419B)
[2026-06-06T11:57:23.406Z] GET https://fonts.googleapis.com/css2?family=Comic%20Neue&display=swap → 200 (?ms, 417B)
[2026-06-06T11:57:23.406Z] GET https://fonts.googleapis.com/css2?family=Nanum%20Pen%20Script&display=swap → 200 (?ms, 59566B)
[2026-06-06T11:57:23.406Z] GET https://fonts.googleapis.com/css2?family=Gamja%20Flower&display=swap → 200 (?ms, 58450B)
[2026-06-06T11:57:23.406Z] GET https://fonts.googleapis.com/css2?family=Cute%20Font&display=swap → 200 (1ms, 54173B)
[2026-06-06T11:57:23.407Z] GET https://fonts.googleapis.com/css2?family=Do%20Hyeon&display=swap → 200 (?ms, 57148B)
[2026-06-06T11:57:23.407Z] GET https://fonts.googleapis.com/css2?family=Noto%20Sans%20KR&display=swap → 200 (?ms, 97626B)
[2026-06-06T11:57:23.408Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9eIWpYT5Kmgq3sw.woff2 → 200 (?ms, ?B)
[2026-06-06T12:07:24.380Z] GET http://localhost:3456/ → 200 (16ms, 43690B)
[2026-06-06T12:07:24.406Z] GET https://fonts.googleapis.com/css2?family=Caveat&display=swap → 200 (?ms, 1532B)
[2026-06-06T12:07:24.406Z] GET https://fonts.googleapis.com/css2?family=Patrick%20Hand&display=swap → 200 (2ms, 1294B)
[2026-06-06T12:07:24.408Z] GET https://fonts.googleapis.com/css2?family=Kalam&display=swap → 200 (?ms, 1185B)
[2026-06-06T12:07:24.408Z] GET https://fonts.googleapis.com/css2?family=Architects%20Daughter&display=swap → 200 (1ms, 927B)
[2026-06-06T12:07:24.409Z] GET https://fonts.googleapis.com/css2?family=Schoolbell&display=swap → 200 (?ms, 419B)
[2026-06-06T12:07:24.411Z] GET https://fonts.googleapis.com/css2?family=Comic%20Neue&display=swap → 200 (?ms, 417B)
[2026-06-06T12:07:24.411Z] GET https://fonts.googleapis.com/css2?family=Nanum%20Pen%20Script&display=swap → 200 (1ms, 59566B)
[2026-06-06T12:07:24.412Z] GET https://fonts.googleapis.com/css2?family=Gamja%20Flower&display=swap → 200 (?ms, 58450B)
[2026-06-06T12:07:24.412Z] GET https://fonts.googleapis.com/css2?family=Cute%20Font&display=swap → 200 (1ms, 54173B)
[2026-06-06T12:07:24.413Z] GET https://fonts.googleapis.com/css2?family=Do%20Hyeon&display=swap → 200 (?ms, 57148B)
[2026-06-06T12:07:24.414Z] GET https://fonts.googleapis.com/css2?family=Noto%20Sans%20KR&display=swap → 200 (?ms, 97626B)
[2026-06-06T12:07:24.414Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9eIWpYT5Kmgq3sw.woff2 → 200 (?ms, ?B)
[2026-06-06T12:07:24.487Z] GET http://localhost:3456/ → 200 (4ms, 43690B)
[2026-06-06T12:07:24.502Z] GET https://fonts.googleapis.com/css2?family=Caveat&display=swap → 200 (?ms, 1532B)
[2026-06-06T12:07:24.502Z] GET https://fonts.googleapis.com/css2?family=Patrick%20Hand&display=swap → 200 (1ms, 1294B)
[2026-06-06T12:07:24.503Z] GET https://fonts.googleapis.com/css2?family=Kalam&display=swap → 200 (?ms, 1185B)
[2026-06-06T12:07:24.504Z] GET https://fonts.googleapis.com/css2?family=Architects%20Daughter&display=swap → 200 (?ms, 927B)
[2026-06-06T12:07:24.504Z] GET https://fonts.googleapis.com/css2?family=Schoolbell&display=swap → 200 (1ms, 419B)
[2026-06-06T12:07:24.505Z] GET https://fonts.googleapis.com/css2?family=Comic%20Neue&display=swap → 200 (?ms, 417B)
[2026-06-06T12:07:24.505Z] GET https://fonts.googleapis.com/css2?family=Nanum%20Pen%20Script&display=swap → 200 (1ms, 59566B)
[2026-06-06T12:07:24.506Z] GET https://fonts.googleapis.com/css2?family=Gamja%20Flower&display=swap → 200 (?ms, 58450B)
